resource module not available on Windows
train: 400/8000, 35 s
train: 600/8000, 52 s
train: 800/8000, 70 s
train: 1000/8000, 86 s
train: 1200/8000, 101 s
train: 1400/8000, 119 s
train: 1600/8000, 137 s
train: 1800/8000, 157 s
train: 2000/8000, 176 s
train: 2400/8000, 212 s
train: 3200/8000, 275 s
train: 3400/8000, 291 s
train: 3600/8000, 306 s
train: 3800/8000, 322 s
train: 4000/8000, 338 s
train: 4200/8000, 354 s
train: 4600/8000, 385 s
train: 4800/8000, 401 s
train: 5000/8000, 417 s
train: 5200/8000, 432 s
train: 5400/8000, 448 s
train: 5600/8000, 468 s
train: 5800/8000, 486 s
train: 6000/8000, 503 s
train: 6200/8000, 519 s
train: 6600/8000, 549 s
train: 6800/8000, 563 s
train: 7000/8000, 577 s
train: 7200/8000, 592 s
train: 7400/8000, 606 s
train: 7600/8000, 621 s
train: 7800/8000, 636 s
train: 8000/8000, 653 s
{"fold": "train", "queries": 8000, "rows": 848569, "features": ["title_score", "title_relative", "title_rr", "title_local_rr", "description_score", "description_relative", "description_rr", "description_local_rr", "params_score", "params_relative", "params_rr", "params_local_rr", "filter_score", "filter_relative", "rrf", "same_location", "same_category", "delivery", "query_words", "filter_words", "title_length", "title_coverage", "title_jaccard", "params_length", "params_coverage", "filter_coverage", "item_price", "item_rating", "item_rating_reviews_count", "item_is_phone_hidden", "item_is_message_forbidden"], "seconds": 653.0138493000122, "feature_file_sha256": "f27555b4b0d2d9e572a0bece149740552bb4ea8b22089866590ade687cebcfd1", "baseline_recall_50": 0.28680574633699635, "pool_recall": 0.8764604166666666, "queries_without_positive_in_pool": 958}
